"CaseId";"EventName";"Timestamp"
"10100";"Receive Customer Order";"2017-08-08T22:52:00"
"10100";"Receive Payment";"2017-08-12T13:04:32"
"10100";"Ship Goods Standard";"2017-08-16T02:20:50"
"10100";"Receive Delivery Confirmation";"2017-08-22T05:18:50"
"10101";"Receive Customer Order";"2017-07-12T13:30:43"
"10101";"Receive Payment";"2017-07-15T07:15:50"
"10101";"Ship Goods Standard";"2017-07-19T08:03:39"
"10101";"Receive Delivery Confirmation";"2017-08-06T01:47:13"
"10102";"Receive Customer Order";"2017-06-26T17:33:15"
"10102";"Receive Payment";"2017-06-29T18:13:02"
"10102";"Ship Goods Standard";"2017-07-03T21:18:53"
"10102";"Receive Delivery Confirmation";"2017-07-16T04:29:57"
"10103";"Receive Customer Order";"2017-09-23T05:51:49"
"10103";"Receive Payment";"2017-09-26T12:21:05"
"10103";"Ship Goods Standard";"2017-09-28T17:17:19"
"10103";"Receive Delivery Confirmation";"2017-10-14T17:59:32"
"10104";"Receive Customer Order";"2017-07-28T21:41:26"
"10104";"Receive Payment";"2017-07-31T05:43:01"
"10104";"Ship Goods Standard";"2017-08-03T21:11:49"
"10104";"Receive Delivery Confirmation";"2017-08-19T04:55:26"
"10105";"Receive Customer Order";"2017-06-01T11:49:51"
"10105";"Receive Payment";"2017-06-05T14:16:15"
"10105";"Ship Goods Standard";"2017-06-10T06:07:47"
"10105";"Receive Delivery Confirmation";"2017-06-19T16:09:25"
"10106";"Receive Customer Order";"2017-07-29T21:02:43"
"10106";"Receive Payment";"2017-08-02T21:29:54"
"10106";"Ship Goods Standard";"2017-08-07T07:11:18"
"10106";"Receive Delivery Confirmation";"2017-08-26T19:08:07"
"10107";"Receive Customer Order";"2017-07-06T14:14:39"
"10107";"Receive Payment";"2017-07-08T04:37:54"
"10107";"Ship Goods Standard";"2017-07-11T03:05:53"
"10107";"Receive Delivery Confirmation";"2017-07-22T23:28:40"
"10108";"Receive Customer Order";"2017-07-29T12:40:30"
"10108";"Receive Payment";"2017-08-02T19:40:28"
"10108";"Ship Goods Standard";"2017-08-05T18:39:29"
"10108";"Receive Delivery Confirmation";"2017-08-20T12:48:34"
"10109";"Receive Customer Order";"2017-08-01T15:14:07"
"10109";"Receive Payment";"2017-08-05T02:10:13"
"10109";"Ship Goods Standard";"2017-08-07T07:48:01"
"10109";"Receive Delivery Confirmation";"2017-08-14T15:02:24"
"10110";"Receive Customer Order";"2017-08-01T22:10:03"
"10110";"Receive Payment";"2017-08-05T02:24:29"
"10110";"Ship Goods Standard";"2017-08-08T02:20:00"
"10110";"Receive Delivery Confirmation";"2017-08-23T20:08:28"
"10111";"Receive Customer Order";"2017-09-22T03:06:52"
"10111";"Receive Payment";"2017-09-25T04:22:02"
"10111";"Ship Goods Standard";"2017-09-27T08:58:27"
"10111";"Receive Delivery Confirmation";"2017-10-04T15:17:37"
"10112";"Receive Customer Order";"2017-06-15T17:19:47"
"10112";"Receive Payment";"2017-06-18T22:44:55"
"10112";"Ship Goods Standard";"2017-06-20T07:26:17"
"10112";"Receive Delivery Confirmation";"2017-07-09T21:01:22"
"10113";"Receive Customer Order";"2017-07-19T12:39:46"
"10113";"Receive Payment";"2017-07-21T17:48:48"
"10113";"Ship Goods Standard";"2017-07-22T17:55:30"
"10113";"Receive Delivery Confirmation";"2017-08-09T06:17:01"
"10114";"Receive Customer Order";"2017-08-13T20:57:06"
"10114";"Receive Payment";"2017-08-15T22:30:08"
"10114";"Ship Goods Standard";"2017-08-18T13:26:54"
"10114";"Receive Delivery Confirmation";"2017-09-06T06:01:17"
"10115";"Receive Customer Order";"2017-07-19T18:49:00"
"10115";"Receive Payment";"2017-07-22T16:41:19"
"10115";"Ship Goods Standard";"2017-07-22T20:09:15"
"10115";"Receive Delivery Confirmation";"2017-07-31T06:52:59"
"10116";"Receive Customer Order";"2017-08-22T04:45:24"
"10116";"Receive Payment";"2017-08-24T02:37:52"
"10116";"Ship Goods Standard";"2017-08-25T06:30:55"
"10116";"Receive Delivery Confirmation";"2017-09-10T18:19:23"
"10117";"Receive Customer Order";"2017-07-05T23:10:59"
"10117";"Receive Payment";"2017-07-08T07:27:41"
"10117";"Ship Goods Standard";"2017-07-09T23:22:58"
"10117";"Receive Delivery Confirmation";"2017-07-24T06:42:22"
"10118";"Receive Customer Order";"2017-07-28T05:33:16"
"10118";"Receive Payment";"2017-07-30T18:09:38"
"10118";"Ship Goods Standard";"2017-08-04T01:03:03"
"10118";"Receive Delivery Confirmation";"2017-08-17T16:50:40"
"10119";"Receive Customer Order";"2017-08-09T23:59:28"
"10119";"Receive Payment";"2017-08-11T07:12:15"
"10119";"Ship Goods Standard";"2017-08-14T13:53:48"
"10119";"Receive Delivery Confirmation";"2017-08-27T15:54:36"
"10120";"Receive Customer Order";"2017-09-05T20:12:24"
"10120";"Receive Payment";"2017-09-08T17:37:36"
"10120";"Ship Goods Standard";"2017-09-13T00:14:05"
"10120";"Receive Delivery Confirmation";"2017-10-01T20:51:49"
"10121";"Receive Customer Order";"2017-06-02T18:53:24"
"10121";"Receive Payment";"2017-06-07T08:36:31"
"10121";"Ship Goods Standard";"2017-06-09T20:26:51"
"10121";"Receive Delivery Confirmation";"2017-06-24T22:17:47"
"10122";"Receive Customer Order";"2017-08-24T19:35:18"
"10122";"Receive Payment";"2017-08-28T02:05:02"
"10122";"Ship Goods Standard";"2017-08-31T21:30:31"
"10122";"Receive Delivery Confirmation";"2017-09-05T23:41:42"
"10123";"Receive Customer Order";"2017-09-23T11:25:48"
"10123";"Receive Payment";"2017-09-27T16:29:14"
"10123";"Ship Goods Standard";"2017-09-27T18:44:17"
"10123";"Receive Delivery Confirmation";"2017-10-05T13:08:20"
"10124";"Receive Customer Order";"2017-08-07T05:21:18"
"10124";"Receive Payment";"2017-08-10T17:30:30"
"10124";"Ship Goods Standard";"2017-08-10T20:11:00"
"10124";"Receive Delivery Confirmation";"2017-08-29T16:05:38"
"10125";"Receive Customer Order";"2017-06-07T14:04:13"
"10125";"Receive Payment";"2017-06-12T13:00:20"
"10125";"Ship Goods Standard";"2017-06-15T11:21:47"
"10125";"Receive Delivery Confirmation";"2017-06-27T15:08:31"
"10126";"Receive Customer Order";"2017-09-06T06:26:49"
"10126";"Receive Payment";"2017-09-10T21:50:26"
"10126";"Ship Goods Standard";"2017-09-13T07:53:11"
"10126";"Receive Delivery Confirmation";"2017-10-01T18:08:34"
"10127";"Receive Customer Order";"2017-07-13T00:38:36"
"10127";"Receive Payment";"2017-07-17T00:55:51"
"10127";"Ship Goods Standard";"2017-07-18T07:42:54"
"10127";"Receive Delivery Confirmation";"2017-07-24T12:23:53"
"10128";"Receive Customer Order";"2017-08-17T16:35:57"
"10128";"Receive Payment";"2017-08-20T18:29:11"
"10128";"Ship Goods Standard";"2017-08-22T18:25:49"
"10128";"Receive Delivery Confirmation";"2017-09-04T09:19:08"
"10129";"Receive Customer Order";"2017-08-14T19:59:32"
"10129";"Receive Payment";"2017-08-18T22:06:47"
"10129";"Ship Goods Standard";"2017-08-22T10:52:38"
"10129";"Receive Delivery Confirmation";"2017-09-02T01:28:41"
"10130";"Receive Customer Order";"2017-07-26T16:18:46"
"10130";"Receive Payment";"2017-07-30T12:09:03"
"10130";"Ship Goods Standard";"2017-08-04T01:18:30"
"10130";"Receive Delivery Confirmation";"2017-08-19T08:59:20"
"10131";"Receive Customer Order";"2017-08-28T12:32:41"
"10131";"Receive Payment";"2017-08-30T16:02:22"
"10131";"Ship Goods Standard";"2017-09-01T17:17:13"
"10131";"Receive Delivery Confirmation";"2017-09-13T21:14:21"
"10132";"Receive Customer Order";"2017-08-31T01:42:57"
"10132";"Receive Payment";"2017-09-02T11:54:20"
"10132";"Ship Goods Standard";"2017-09-07T06:25:24"
"10132";"Receive Delivery Confirmation";"2017-09-20T06:33:31"
"10133";"Receive Customer Order";"2017-08-03T12:26:22"
"10133";"Receive Payment";"2017-08-06T16:58:12"
"10133";"Ship Goods Standard";"2017-08-07T04:31:18"
"10133";"Receive Delivery Confirmation";"2017-08-11T10:17:14"
"10134";"Receive Customer Order";"2017-08-21T16:19:42"
"10134";"Receive Payment";"2017-08-23T18:07:23"
"10134";"Ship Goods Standard";"2017-08-26T11:31:52"
"10134";"Receive Delivery Confirmation";"2017-08-31T06:25:43"
"10135";"Receive Customer Order";"2017-07-16T15:09:21"
"10135";"Receive Payment";"2017-07-19T14:03:47"
"10135";"Ship Goods Standard";"2017-07-24T13:08:07"
"10135";"Receive Delivery Confirmation";"2017-08-09T08:59:50"
"10136";"Receive Customer Order";"2017-09-05T14:45:21"
"10136";"Receive Payment";"2017-09-07T23:05:05"
"10136";"Ship Goods Standard";"2017-09-11T02:35:37"
"10136";"Receive Delivery Confirmation";"2017-09-29T22:05:16"
"10137";"Receive Customer Order";"2017-07-29T10:08:53"
"10137";"Receive Payment";"2017-08-01T05:18:25"
"10137";"Ship Goods Standard";"2017-08-04T08:56:49"
"10137";"Receive Delivery Confirmation";"2017-08-16T00:26:48"
"10138";"Receive Customer Order";"2017-08-27T18:27:08"
"10138";"Receive Payment";"2017-08-30T19:05:55"
"10138";"Ship Goods Standard";"2017-09-04T12:38:24"
"10138";"Receive Delivery Confirmation";"2017-09-22T11:47:24"
"10139";"Receive Customer Order";"2017-06-26T05:32:13"
"10139";"Receive Payment";"2017-06-28T17:00:08"
"10139";"Ship Goods Standard";"2017-07-03T07:38:43"
"10139";"Receive Delivery Confirmation";"2017-07-17T17:15:08"
"10140";"Receive Customer Order";"2017-06-06T05:21:47"
"10140";"Receive Payment";"2017-06-08T19:38:16"
"10140";"Ship Goods Standard";"2017-06-10T08:50:58"
"10140";"Receive Delivery Confirmation";"2017-06-14T14:01:52"
"10141";"Receive Customer Order";"2017-08-07T03:55:10"
"10141";"Receive Payment";"2017-08-09T07:30:47"
"10141";"Ship Goods Standard";"2017-08-10T14:09:10"
"10141";"Receive Delivery Confirmation";"2017-08-19T12:46:16"
"10142";"Receive Customer Order";"2017-08-05T21:55:51"
"10142";"Receive Payment";"2017-08-08T08:44:07"
"10142";"Ship Goods Standard";"2017-08-09T05:36:59"
"10142";"Receive Delivery Confirmation";"2017-08-20T05:34:24"
"10143";"Receive Customer Order";"2017-07-14T05:15:49"
"10143";"Receive Payment";"2017-07-17T00:30:37"
"10143";"Ship Goods Standard";"2017-07-18T17:56:41"
"10143";"Receive Delivery Confirmation";"2017-08-06T05:08:11"
"10144";"Receive Customer Order";"2017-09-14T17:25:32"
"10144";"Receive Payment";"2017-09-18T01:09:59"
"10144";"Ship Goods Standard";"2017-09-20T12:20:56"
"10144";"Receive Delivery Confirmation";"2017-10-03T18:15:47"
"10145";"Receive Customer Order";"2017-07-16T20:51:52"
"10145";"Receive Payment";"2017-07-19T14:05:08"
"10145";"Ship Goods Standard";"2017-07-23T19:09:25"
"10145";"Receive Delivery Confirmation";"2017-08-07T14:41:35"
"10146";"Receive Customer Order";"2017-08-06T03:07:44"
"10146";"Receive Payment";"2017-08-09T10:44:29"
"10146";"Ship Goods Standard";"2017-08-11T18:33:19"
"10146";"Receive Delivery Confirmation";"2017-08-28T05:58:26"
"10147";"Receive Customer Order";"2017-06-28T20:43:09"
"10147";"Receive Payment";"2017-07-02T10:01:13"
"10147";"Ship Goods Standard";"2017-07-05T06:24:50"
"10147";"Receive Delivery Confirmation";"2017-07-24T11:40:14"
"10148";"Receive Customer Order";"2017-08-20T06:34:13"
"10148";"Receive Payment";"2017-08-23T01:14:53"
"10148";"Ship Goods Standard";"2017-08-24T20:32:27"
"10148";"Receive Delivery Confirmation";"2017-09-03T20:54:47"
"10149";"Receive Customer Order";"2017-08-02T03:52:01"
"10149";"Receive Payment";"2017-08-03T22:16:58"
"10149";"Ship Goods Standard";"2017-08-07T07:53:32"
"10149";"Receive Delivery Confirmation";"2017-08-24T02:08:06"
"10150";"Receive Customer Order";"2017-07-29T00:50:06"
"10150";"Receive Payment";"2017-07-31T21:04:42"
"10150";"Ship Goods Standard";"2017-07-31T23:58:48"
"10150";"Receive Delivery Confirmation";"2017-08-11T07:44:59"
"10151";"Receive Customer Order";"2017-07-11T06:05:46"
"10151";"Receive Payment";"2017-07-15T15:28:13"
"10151";"Ship Goods Standard";"2017-07-19T21:50:07"
"10151";"Receive Delivery Confirmation";"2017-07-30T08:05:33"
"10152";"Receive Customer Order";"2017-08-10T13:18:53"
"10152";"Receive Payment";"2017-08-11T13:55:08"
"10152";"Ship Goods Standard";"2017-08-15T13:22:40"
"10152";"Receive Delivery Confirmation";"2017-08-23T03:06:46"
"10153";"Receive Customer Order";"2017-09-11T16:07:18"
"10153";"Receive Payment";"2017-09-16T09:36:35"
"10153";"Ship Goods Standard";"2017-09-16T17:28:49"
"10153";"Receive Delivery Confirmation";"2017-10-03T21:54:05"
"10154";"Receive Customer Order";"2017-06-26T06:01:42"
"10154";"Receive Payment";"2017-06-28T17:50:51"
"10154";"Ship Goods Standard";"2017-06-28T22:33:16"
"10154";"Receive Delivery Confirmation";"2017-07-10T17:01:35"
"10155";"Receive Customer Order";"2017-07-21T11:28:50"
"10155";"Receive Payment";"2017-07-25T20:04:22"
"10155";"Ship Goods Standard";"2017-07-26T01:06:11"
"10155";"Receive Delivery Confirmation";"2017-08-08T02:07:13"
"10156";"Receive Customer Order";"2017-09-24T20:18:30"
"10156";"Receive Payment";"2017-09-28T14:44:35"
"10156";"Ship Goods Standard";"2017-09-29T10:43:16"
"10156";"Receive Delivery Confirmation";"2017-10-18T17:55:34"
"10157";"Receive Customer Order";"2017-07-09T07:34:39"
"10157";"Receive Payment";"2017-07-14T01:52:13"
"10157";"Ship Goods Standard";"2017-07-14T05:26:22"
"10157";"Receive Delivery Confirmation";"2017-07-25T06:10:20"
"10158";"Receive Customer Order";"2017-08-16T08:30:32"
"10158";"Receive Payment";"2017-08-17T12:06:34"
"10158";"Ship Goods Standard";"2017-08-19T18:10:44"
"10158";"Receive Delivery Confirmation";"2017-09-01T02:21:17"
"10159";"Receive Customer Order";"2017-09-27T14:26:53"
"10159";"Receive Payment";"2017-09-30T21:08:13"
"10159";"Ship Goods Standard";"2017-10-01T19:59:23"
"10159";"Receive Delivery Confirmation";"2017-10-13T11:28:34"
"10160";"Receive Customer Order";"2017-09-27T02:33:07"
"10160";"Receive Payment";"2017-09-29T05:59:25"
"10160";"Ship Goods Standard";"2017-10-03T22:11:47"
"10160";"Receive Delivery Confirmation";"2017-10-18T11:28:13"
"10161";"Receive Customer Order";"2017-07-10T23:30:49"
"10161";"Receive Payment";"2017-07-12T01:41:09"
"10161";"Ship Goods Standard";"2017-07-17T01:40:49"
"10161";"Receive Delivery Confirmation";"2017-07-30T13:21:59"
"10162";"Receive Customer Order";"2017-08-13T21:48:38"
"10162";"Receive Payment";"2017-08-18T16:08:05"
"10162";"Ship Goods Standard";"2017-08-20T01:05:24"
"10162";"Receive Delivery Confirmation";"2017-08-31T03:32:12"
"10163";"Receive Customer Order";"2017-08-05T03:50:34"
"10163";"Receive Payment";"2017-08-08T19:47:54"
"10163";"Ship Goods Standard";"2017-08-12T19:55:43"
"10163";"Receive Delivery Confirmation";"2017-08-31T12:43:41"
"10164";"Receive Customer Order";"2017-09-12T06:21:29"
"10164";"Receive Payment";"2017-09-16T02:27:17"
"10164";"Ship Goods Standard";"2017-09-19T10:19:06"
"10164";"Receive Delivery Confirmation";"2017-10-02T05:19:50"
"10165";"Receive Customer Order";"2017-07-16T23:54:50"
"10165";"Receive Payment";"2017-07-20T23:11:11"
"10165";"Ship Goods Standard";"2017-07-24T14:00:55"
"10165";"Receive Delivery Confirmation";"2017-08-07T09:30:56"
"10166";"Receive Customer Order";"2017-07-19T22:34:22"
"10166";"Receive Payment";"2017-07-22T15:29:04"
"10166";"Ship Goods Standard";"2017-07-23T23:26:26"
"10166";"Receive Delivery Confirmation";"2017-08-10T17:55:15"
"10167";"Receive Customer Order";"2017-07-05T09:02:28"
"10167";"Receive Payment";"2017-07-08T19:08:52"
"10167";"Ship Goods Standard";"2017-07-11T18:58:20"
"10167";"Receive Delivery Confirmation";"2017-07-26T15:31:04"
"10168";"Receive Customer Order";"2017-07-15T14:28:00"
"10168";"Receive Payment";"2017-07-20T05:14:41"
"10168";"Ship Goods Standard";"2017-07-21T04:33:55"
"10168";"Receive Delivery Confirmation";"2017-07-29T20:48:59"
"10169";"Receive Customer Order";"2017-06-15T09:30:12"
"10169";"Receive Payment";"2017-06-19T07:24:52"
"10169";"Ship Goods Standard";"2017-06-21T14:23:37"
"10169";"Receive Delivery Confirmation";"2017-07-04T17:56:20"
"10170";"Receive Customer Order";"2017-08-05T00:18:53"
"10170";"Receive Payment";"2017-08-07T17:41:14"
"10170";"Ship Goods Standard";"2017-08-09T18:53:04"
"10170";"Receive Delivery Confirmation";"2017-08-19T09:33:05"
"10171";"Receive Customer Order";"2017-06-28T08:54:55"
"10171";"Receive Payment";"2017-07-02T07:24:21"
"10171";"Ship Goods Standard";"2017-07-05T15:44:50"
"10171";"Receive Delivery Confirmation";"2017-07-19T15:20:32"
"10172";"Receive Customer Order";"2017-08-12T19:31:38"
"10172";"Receive Payment";"2017-08-16T15:47:05"
"10172";"Ship Goods Standard";"2017-08-18T03:34:58"
"10172";"Receive Delivery Confirmation";"2017-08-29T21:47:36"
"10173";"Receive Customer Order";"2017-08-05T18:47:05"
"10173";"Receive Payment";"2017-08-10T07:17:15"
"10173";"Ship Goods Standard";"2017-08-13T16:55:45"
"10173";"Receive Delivery Confirmation";"2017-08-21T02:54:11"
"10174";"Receive Customer Order";"2017-06-13T07:17:24"
"10174";"Receive Payment";"2017-06-17T02:14:04"
"10174";"Ship Goods Standard";"2017-06-17T10:39:25"
"10174";"Receive Delivery Confirmation";"2017-06-28T21:58:16"
"10175";"Receive Customer Order";"2017-07-18T23:33:38"
"10175";"Receive Payment";"2017-07-23T18:47:08"
"10175";"Ship Goods Standard";"2017-07-25T02:22:32"
"10175";"Receive Delivery Confirmation";"2017-08-06T18:38:52"
"10176";"Receive Customer Order";"2017-09-09T08:56:20"
"10176";"Receive Payment";"2017-09-13T19:00:13"
"10176";"Ship Goods Standard";"2017-09-14T08:02:52"
"10176";"Receive Delivery Confirmation";"2017-09-30T01:25:43"
"10177";"Receive Customer Order";"2017-06-05T00:31:17"
"10177";"Receive Payment";"2017-06-08T05:52:08"
"10177";"Ship Goods Standard";"2017-06-10T11:29:37"
"10177";"Receive Delivery Confirmation";"2017-06-19T12:21:36"
"10178";"Receive Customer Order";"2017-09-27T10:45:48"
"10178";"Receive Payment";"2017-09-29T15:58:50"
"10178";"Ship Goods Standard";"2017-10-03T14:17:59"
"10178";"Receive Delivery Confirmation";"2017-10-14T12:46:31"
"10179";"Receive Customer Order";"2017-09-16T02:54:15"
"10179";"Receive Payment";"2017-09-17T04:42:31"
"10179";"Ship Goods Standard";"2017-09-20T03:35:07"
"10179";"Receive Delivery Confirmation";"2017-10-06T12:55:45"
"10180";"Receive Customer Order";"2017-09-27T08:34:36"
"10180";"Receive Payment";"2017-10-02T05:39:43"
"10180";"Ship Goods Standard";"2017-10-06T04:05:31"
"10180";"Receive Delivery Confirmation";"2017-10-23T14:26:28"
"10181";"Receive Customer Order";"2017-07-30T00:58:36"
"10181";"Receive Payment";"2017-08-02T06:43:51"
"10181";"Ship Goods Standard";"2017-08-06T03:54:19"
"10181";"Receive Delivery Confirmation";"2017-08-17T02:41:34"
"10182";"Receive Customer Order";"2017-06-09T17:44:09"
"10182";"Receive Payment";"2017-06-12T16:37:37"
"10182";"Ship Goods Standard";"2017-06-15T08:29:35"
"10182";"Receive Delivery Confirmation";"2017-06-22T01:40:26"
"10183";"Receive Customer Order";"2017-06-23T17:24:28"
"10183";"Receive Payment";"2017-06-25T12:27:49"
"10183";"Ship Goods Standard";"2017-06-25T18:34:40"
"10183";"Receive Delivery Confirmation";"2017-07-10T14:51:44"
"10184";"Receive Customer Order";"2017-06-06T21:48:34"
"10184";"Receive Payment";"2017-06-08T13:12:21"
"10184";"Ship Goods Standard";"2017-06-10T12:03:28"
"10184";"Receive Delivery Confirmation";"2017-06-22T22:48:28"
"10185";"Receive Customer Order";"2017-06-21T22:27:19"
"10185";"Receive Payment";"2017-06-25T15:06:20"
"10185";"Ship Goods Standard";"2017-06-28T02:17:22"
"10185";"Receive Delivery Confirmation";"2017-07-12T01:54:47"
"10186";"Receive Customer Order";"2017-09-21T08:48:36"
"10186";"Receive Payment";"2017-09-24T20:17:15"
"10186";"Ship Goods Standard";"2017-09-26T18:57:59"
"10186";"Receive Delivery Confirmation";"2017-10-07T09:49:47"
"10187";"Receive Customer Order";"2017-06-05T04:13:05"
"10187";"Receive Payment";"2017-06-07T18:26:59"
"10187";"Ship Goods Standard";"2017-06-11T11:29:11"
"10187";"Receive Delivery Confirmation";"2017-06-20T00:34:36"
"10188";"Receive Customer Order";"2017-06-09T17:38:50"
"10188";"Receive Payment";"2017-06-12T18:18:32"
"10188";"Ship Goods Standard";"2017-06-13T09:59:11"
"10188";"Receive Delivery Confirmation";"2017-06-27T11:37:13"
"10189";"Receive Customer Order";"2017-09-13T08:01:58"
"10189";"Receive Payment";"2017-09-15T08:04:36"
"10189";"Ship Goods Standard";"2017-09-17T07:17:51"
"10189";"Receive Delivery Confirmation";"2017-09-28T14:11:49"
"10190";"Receive Customer Order";"2017-09-29T05:57:03"
"10190";"Receive Payment";"2017-10-02T16:54:21"
"10190";"Ship Goods Standard";"2017-10-04T14:15:47"
"10190";"Receive Delivery Confirmation";"2017-10-22T10:32:39"
"10191";"Receive Customer Order";"2017-09-22T17:31:22"
"10191";"Receive Payment";"2017-09-23T22:13:03"
"10191";"Ship Goods Standard";"2017-09-27T00:58:25"
"10191";"Receive Delivery Confirmation";"2017-10-08T03:48:23"
"10192";"Receive Customer Order";"2017-06-12T18:55:33"
"10192";"Receive Payment";"2017-06-17T10:12:07"
"10192";"Ship Goods Standard";"2017-06-22T07:03:16"
"10192";"Receive Delivery Confirmation";"2017-07-05T14:54:40"
"10193";"Receive Customer Order";"2017-06-04T18:40:36"
"10193";"Receive Payment";"2017-06-07T10:23:58"
"10193";"Ship Goods Standard";"2017-06-08T06:26:16"
"10193";"Receive Delivery Confirmation";"2017-06-25T20:57:35"
"10194";"Receive Customer Order";"2017-09-23T09:03:23"
"10194";"Receive Payment";"2017-09-25T18:52:43"
"10194";"Ship Goods Standard";"2017-09-29T08:36:47"
"10194";"Receive Delivery Confirmation";"2017-10-15T13:36:28"
"10195";"Receive Customer Order";"2017-08-28T19:05:56"
"10195";"Receive Payment";"2017-09-01T01:22:02"
"10195";"Ship Goods Standard";"2017-09-05T05:06:17"
"10195";"Receive Delivery Confirmation";"2017-09-17T13:42:40"
"10196";"Receive Customer Order";"2017-06-21T08:28:50"
"10196";"Receive Payment";"2017-06-23T04:41:52"
"10196";"Ship Goods Standard";"2017-06-24T02:21:21"
"10196";"Receive Delivery Confirmation";"2017-07-12T23:28:51"
"10197";"Receive Customer Order";"2017-08-09T08:30:46"
"10197";"Receive Payment";"2017-08-10T13:52:29"
"10197";"Ship Goods Standard";"2017-08-15T09:58:00"
"10197";"Receive Delivery Confirmation";"2017-08-27T00:20:33"
"10198";"Receive Customer Order";"2017-06-14T10:36:15"
"10198";"Receive Payment";"2017-06-15T14:13:22"
"10198";"Ship Goods Standard";"2017-06-17T18:45:38"
"10198";"Receive Delivery Confirmation";"2017-07-05T23:50:24"
"10199";"Receive Customer Order";"2017-06-02T18:02:43"
"10199";"Receive Payment";"2017-06-05T05:59:10"
"10199";"Ship Goods Standard";"2017-06-09T16:46:05"
"10199";"Receive Delivery Confirmation";"2017-06-19T08:34:45"
"10200";"Receive Customer Order";"2017-08-19T17:17:54"
"10200";"Receive Payment";"2017-08-24T14:50:16"
"10200";"Ship Goods Standard";"2017-08-25T07:09:38"
"10200";"Receive Delivery Confirmation";"2017-08-30T09:36:01"
"10201";"Receive Customer Order";"2017-08-09T03:33:17"
"10201";"Receive Payment";"2017-08-12T09:51:36"
"10201";"Ship Goods Standard";"2017-08-13T23:34:04"
"10201";"Receive Delivery Confirmation";"2017-08-24T23:47:22"
